開催年月日,タイトル,場所,テーマ,タグ
2008-06-14,第一回 高専カンファレンス,ウノウ株式会社（東京都渋谷区）,,001tokyo
2008-09-13,高専カンファレンス in 北海道,札幌市産業振興センター（北海道札幌市）,私の歩んだ高専道,002hokkaido
2008-12-06,高専カンファレンス2008 Winter in 東京,ミラクル・リナックス（東京都港区）,The Nature Style,003tokyo
2009-02-28,高専カンファレンス in 福井,福井工業高専（福井県鯖江市）,,004fukui
2009-04-04,東京 第3回 LT,株式会社オプティム（東京都港区）,,006tokyo
2009-05-16,高専カンファレンス in 九州,久留米工業高専（福岡県久留米市）,,005kyushu
2009-08-29,高専カンファレンス in 東北,福島工業高専（福島県いわき市）,,008tohoku
2009-11-07,高専カンファレンス 2009秋 in 東京,都立産業技術高専荒川キャンパス（東京都荒川区）,,009tokyo
2009-12-19,高専カンファレンス in 長野,長野工業高専（長野県長野市）,,011nagano
2010-01-30,高専カンファレンス in 八戸,八戸工業高専（青森県八戸市）,,012hachinohe
2010-04-24,高専カンファレンス in サレジオ,サレジオ工業高専（東京都町田市）,,013salesio
2010-05-29,高専カンファレンス in 北海道2,苫小牧工業高専（北海道苫小牧市）,,010hokkaido
2010-07-17,高専カンファレンス in 奈良,奈良工業高専（奈良県大和郡山市）,,015nara
2010-08-07,高専カンファレンス in 石川,石川工業高専（石川県河北郡）,,017ishikawa
2010-09-25,高専女子カンファレンスin東京,喫茶室ルノアール新宿区役所横店（東京都新宿区）,女子による、女子の為のカンファ,018joshi-tokyo
2010-09-25,高専カンファレンス in 九州～大分,大分工業高専（大分県大分市）,あなたの夢の話、聞かせてください,016oita
2010-10-02,高専カンファレンス 2010秋 in 東京,都立産業技術高専荒川キャンパス（東京都荒川区）,アンカンファレンス,014tokyo
2010-11-13,高専カンファレンス in 京都,京都高度技術研究所（京都市下京区）,,019kyoto
2010-12-18,高専カンファレンス in 沼津,沼津工業高専（静岡県沼津市）,,021numazu
2011-01-08,高専カンファレンス in 神戸,大学共同利用施設UNITY（兵庫県神戸市）,,022kobe
2011-01-22,高専カンファレンス in 四国,新居浜工業高専（愛媛県新居浜市）,はばたけ地方の高専生,023shikoku
